img,x1,y1,x2,y2,id,width,height
00000.ppm,774,411,815,446,1,1360,800
00001.ppm,973,335,1031,390,1,1360,800
00003.ppm,742,443,765,466,1,1360,800
00003.ppm,742,466,764,489,1,1360,800
00003.ppm,737,412,769,443,1,1360,800
00004.ppm,898,342,967,409,1,1360,800
00004.ppm,906,407,955,459,1,1360,800
00005.ppm,1172,164,1284,278,1,1360,800
00006.ppm,926,350,989,414,1,1360,800
00007.ppm,825,406,864,445,1,1360,800
00008.ppm,785,460,811,486,1,1360,800
00009.ppm,925,466,949,490,1,1360,800
00011.ppm,720,338,770,398,1,1360,800
00011.ppm,710,265,780,342,1,1360,800
00012.ppm,979,364,1034,418,1,1360,800
00013.ppm,1043,281,1120,356,1,1360,800
00014.ppm,712,492,732,511,1,1360,800
00015.ppm,770,426,808,462,1,1360,800
00017.ppm,908,302,1031,408,1,1360,800
00017.ppm,575,495,598,515,1,1360,800
00018.ppm,950,455,981,486,1,1360,800
00019.ppm,845,423,888,465,1,1360,800
00020.ppm,825,428,862,463,1,1360,800
00021.ppm,825,388,877,437,1,1360,800
00022.ppm,667,472,692,497,1,1360,800
00023.ppm,998,292,1074,371,1,1360,800
00023.ppm,46,350,136,444,1,1360,800
00023.ppm,945,435,1006,492,1,1360,800
00024.ppm,112,463,143,492,1,1360,800
00025.ppm,731,422,772,459,1,1360,800
00026.ppm,453,411,492,451,1,1360,800
00027.ppm,969,386,1024,441,1,1360,800
00027.ppm,102,375,157,430,1,1360,800
00028.ppm,775,399,833,453,1,1360,800
00029.ppm,1091,393,1133,436,1,1360,800
00031.ppm,763,426,812,473,1,1360,800
00032.ppm,678,443,707,469,1,1360,800
00034.ppm,866,430,899,460,1,1360,800
00035.ppm,678,439,714,474,1,1360,800
00040.ppm,1017,202,1141,313,1,1360,800
00042.ppm,916,300,995,374,1,1360,800
00047.ppm,553,462,579,488,1,1360,800
00048.ppm,771,405,815,443,1,1360,800
00050.ppm,941,339,972,372,1,1360,800
00053.ppm,1156,333,1196,372,1,1360,800
00054.ppm,1113,436,1152,473,1,1360,800
00055.ppm,702,413,747,455,1,1360,800
00056.ppm,729,436,760,467,1,1360,800
00057.ppm,990,418,1036,467,1,1360,800
00060.ppm,819,441,842,464,1,1360,800
00061.ppm,1224,333,1285,394,1,1360,800
00063.ppm,815,499,837,521,1,1360,800
00064.ppm,786,447,808,470,1,1360,800
00065.ppm,973,377,1022,427,1,1360,800
00067.ppm,949,435,979,465,1,1360,800
00068.ppm,849,458,872,479,1,1360,800
00069.ppm,817,459,838,480,1,1360,800
00070.ppm,946,300,1026,373,1,1360,800
00071.ppm,788,437,828,473,1,1360,800
00071.ppm,794,474,822,502,1,1360,800
00071.ppm,794,503,821,529,1,1360,800
00072.ppm,836,456,858,478,1,1360,800
00073.ppm,723,431,752,457,1,1360,800
00073.ppm,727,457,748,477,1,1360,800
00073.ppm,727,476,749,497,1,1360,800
00073.ppm,425,428,456,455,1,1360,800
00073.ppm,430,453,452,475,1,1360,800
00073.ppm,432,475,452,495,1,1360,800
00074.ppm,439,401,488,452,1,1360,800
00074.ppm,929,378,981,431,1,1360,800
00075.ppm,1120,350,1187,409,1,1360,800
00075.ppm,1131,409,1179,456,1,1360,800
00076.ppm,784,440,819,472,1,1360,800
00076.ppm,789,471,815,495,1,1360,800
00077.ppm,951,348,1015,408,1,1360,800
00077.ppm,962,408,1011,455,1,1360,800
00078.ppm,1211,206,1319,305,1,1360,800
00078.ppm,800,462,821,483,1,1360,800
00079.ppm,762,459,792,489,1,1360,800
00080.ppm,829,381,880,432,1,1360,800
00081.ppm,966,228,1044,299,1,1360,800
00083.ppm,1054,208,1152,296,1,1360,800
00085.ppm,846,429,875,458,1,1360,800
00087.ppm,912,435,946,470,6,1360,800
00087.ppm,306,421,340,456,6,1360,800
00088.ppm,956,464,982,490,1,1360,800
00088.ppm,410,464,436,490,1,1360,800
00088.ppm,412,440,436,464,1,1360,800
00088.ppm,956,440,981,464,1,1360,800
00089.ppm,1025,438,1054,468,1,1360,800
00089.ppm,634,447,660,474,1,1360,800
00090.ppm,966,428,1007,464,1,1360,800
00091.ppm,869,443,899,471,1,1360,800
00091.ppm,1056,377,1096,414,1,1360,800
00091.ppm,509,382,553,422,1,1360,800
00092.ppm,718,440,739,462,1,1360,800
00093.ppm,344,397,379,436,1,1360,800
00093.ppm,1076,339,1119,389,1,1360,800
00094.ppm,946,370,995,419,1,1360,800
00094.ppm,113,316,189,392,1,1360,800
00095.ppm,698,461,719,481,1,1360,800
00095.ppm,695,437,723,461,1,1360,800
00096.ppm,699,396,738,435,1,1360,800
00096.ppm,1140,420,1176,458,1,1360,800
00097.ppm,1125,338,1168,378,1,1360,800
00097.ppm,288,328,334,368,1,1360,800
00098.ppm,1206,244,1296,323,1,1360,800
00098.ppm,594,286,668,353,1,1360,800
00099.ppm,910,495,953,533,1,1360,800
00100.ppm,413,507,451,541,1,1360,800
00100.ppm,863,505,902,540,1,1360,800
00101.ppm,835,406,891,461,1,1360,800
